stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,platform_code,vehicle_type,radius
9226208,Si2608,"Solbackantie","Paippistentie",60.440662,25.243230,D,http://aikataulut.hsl.fi/pysakit/fi/9226208.html,0, ,0, ,3,80
9226209,Si2609,"Hommanäsintie","Paippistentie",60.443535,25.244450,D,http://aikataulut.hsl.fi/pysakit/fi/9226209.html,0, ,0, ,3,80
9226210,Si2610,"Hommanäsintie","Paippistentie",60.444093,25.245240,D,http://aikataulut.hsl.fi/pysakit/fi/9226210.html,0, ,0, ,3,80
9226211,Si2611,"Haversbackantie","Paippistentie",60.436636,25.247597,D,http://aikataulut.hsl.fi/pysakit/fi/9226211.html,0, ,0, ,3,80
9226212,Si2612,"Haversbackantie","Paippistentie",60.437060,25.247650,D,http://aikataulut.hsl.fi/pysakit/fi/9226212.html,0, ,0, ,3,80
9226213,Si2613,"Jungfrustenintie","Linsvedintie",60.470064,25.247907,D,http://aikataulut.hsl.fi/pysakit/fi/9226213.html,0, ,0, ,3,80
9226214,Si2614,"Jungfrustenintie","Linsvedintie",60.469845,25.250117,D,http://aikataulut.hsl.fi/pysakit/fi/9226214.html,0, ,0, ,3,80
9226215,Si2615,"Koulumäki","Paippistentie",60.430718,25.254243,D,http://aikataulut.hsl.fi/pysakit/fi/9226215.html,0, ,0, ,3,80
9226216,Si2616,"Lampetas","Paippistentie",60.426205,25.254507,D,http://aikataulut.hsl.fi/pysakit/fi/9226216.html,0, ,0, ,3,80
9226217,Si2617,"Käsiksentie","Paippistentie",60.420212,25.254323,D,http://aikataulut.hsl.fi/pysakit/fi/9226217.html,0, ,0, ,3,80
9226218,Si2618,"Brusaksentie","Paippistentie",60.422542,25.254850,D,http://aikataulut.hsl.fi/pysakit/fi/9226218.html,0, ,0, ,3,80
9226219,Si2619,"Lampetas","Paippistentie",60.426023,25.254642,D,http://aikataulut.hsl.fi/pysakit/fi/9226219.html,0, ,0, ,3,80
9226220,Si2620,"Koulumäki","Paippistentie",60.430535,25.254848,D,http://aikataulut.hsl.fi/pysakit/fi/9226220.html,0, ,0, ,3,80
9226221,Si2621,"Käsiksentie","Paippistentie",60.419297,25.254857,D,http://aikataulut.hsl.fi/pysakit/fi/9226221.html,0, ,0, ,3,80
9226222,Si2622,"Wessmanin tupa","Paippistentie",60.415777,25.257725,D,http://aikataulut.hsl.fi/pysakit/fi/9226222.html,0, ,0, ,3,80
9226223,Si2623,"Wessmanin tupa","Paippistentie",60.415632,25.258890,D,http://aikataulut.hsl.fi/pysakit/fi/9226223.html,0, ,0, ,3,80
9226224,Si2624,"Ketunarontie","Linsvedintie",60.470385,25.260995,D,http://aikataulut.hsl.fi/pysakit/fi/9226224.html,0, ,0, ,3,80
9226225,Si2625,"Ketunarontie","Linsvedintie",60.470257,25.262365,D,http://aikataulut.hsl.fi/pysakit/fi/9226225.html,0, ,0, ,3,80
9226226,Si2626,"Hemgård","Paippistentie",60.413357,25.263565,D,http://aikataulut.hsl.fi/pysakit/fi/9226226.html,0, ,0, ,3,80
9226227,Si2627,"Hemgård","Paippistentie",60.412108,25.263310,D,http://aikataulut.hsl.fi/pysakit/fi/9226227.html,0, ,0, ,3,80
9226228,Si2628,"Kålbackantie","Paippistentie",60.408537,25.268675,D,http://aikataulut.hsl.fi/pysakit/fi/9226228.html,0, ,0, ,3,80
9226229,Si2629,"Kålbackantie","Paippistentie",60.407890,25.268195,D,http://aikataulut.hsl.fi/pysakit/fi/9226229.html,0, ,0, ,3,80
9226230,Si2630,"Brusaksentie","Paippistentie",60.421925,25.255975,D,http://aikataulut.hsl.fi/pysakit/fi/9226230.html,0, ,0, ,3,80
9227201,Si2701,"Lindebontie","Rajakulmantie",60.470105,25.158263,D,http://aikataulut.hsl.fi/pysakit/fi/9227201.html,0, ,0, ,3,40
9227202,Si2702,"Harjus","Rajakulmantie",60.469752,25.171968,D,http://aikataulut.hsl.fi/pysakit/fi/9227202.html,0, ,0, ,3,80
9227203,Si2703,"Rajakulma","Rajakulmantie",60.470235,25.153188,D,http://aikataulut.hsl.fi/pysakit/fi/9227203.html,0, ,0, ,3,50
9227204,Si2704,"Lindebontie","Rajakulmantie",60.470315,25.157247,D,http://aikataulut.hsl.fi/pysakit/fi/9227204.html,0, ,0, ,3,80
9227205,Si2705,"Harjus","Rajakulmantie",60.469993,25.169843,D,http://aikataulut.hsl.fi/pysakit/fi/9227205.html,0, ,0, ,3,80
9227206,Si2706,"Lintumetsä","Rajakulmantie",60.469533,25.189673,D,http://aikataulut.hsl.fi/pysakit/fi/9227206.html,0, ,0, ,3,80
9227207,Si2707,"Lintumetsä","Rajakulmantie",60.469552,25.191689,D,http://aikataulut.hsl.fi/pysakit/fi/9227207.html,0, ,0, ,3,80
9227208,Si2708,"Fågelnäs","Rajakulmantie",60.470497,25.196640,D,http://aikataulut.hsl.fi/pysakit/fi/9227208.html,0, ,0, ,3,80
9227209,Si2709,"Fågelnäs","Rajakulmantie",60.470420,25.197325,D,http://aikataulut.hsl.fi/pysakit/fi/9227209.html,0, ,0, ,3,80
9227210,Si2710,"Kyläkirkko","Rajakulmantie",60.471200,25.202058,D,http://aikataulut.hsl.fi/pysakit/fi/9227210.html,0, ,0, ,3,80
