route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url
1066K,HSL,66K,Rautatientori-Maunula-Länsi-Pakila-Paloheinä,,701,http://aikataulut.hsl.fi/linjat/fi/b66K.html
1067,HSL,67,Rautatientori-Maunula-Pakila-Torpparinmäki,,701,http://aikataulut.hsl.fi/linjat/fi/b67.html
1067N,HSL,67N,Rautatientori-Torpparinmäki,,701,http://aikataulut.hsl.fi/linjat/fi/b67N.html
1069,HSL,69,Kamppi-Pasila-Käpylä-Malmi-Jakomäki,,701,http://aikataulut.hsl.fi/linjat/fi/b69.html
1069N,HSL,69N,Kamppi-Ilmala-Oulunkylä-Itä-Pakila,,701,http://aikataulut.hsl.fi/linjat/fi/b69N.html
1070,HSL,70,Kamppi-Töölö-Pihlajamäki-Pukinmäki-Malmi,,701,http://aikataulut.hsl.fi/linjat/fi/b70.html
1071,HSL,71,Rautatientori-Pihlajisto-Pihlajamäki-Malmi,,701,http://aikataulut.hsl.fi/linjat/fi/b71.html
1073,HSL,73,Karhupuisto-Malmi-Puistolan as.-Ala-Tikkurila,,701,http://aikataulut.hsl.fi/linjat/fi/b73.html
1073N,HSL,73N,Rautatientori-Malmi-Puistolan asema-Ala-Tikkurila,,701,http://aikataulut.hsl.fi/linjat/fi/h73n.html
1074,HSL,74,Karhupuisto-Malmi-Tapanila-Puistola-Heikinlaakso,,701,http://aikataulut.hsl.fi/linjat/fi/b74.html
1074B,HSL,74B,Puistolan asema-Heikinlaakso,,701,http://aikataulut.hsl.fi/linjat/fi/b74B.html
1074N,HSL,74N,Rautatientori-Malmi-Tapanila-Puistola-Heikinlaakso,,701,http://aikataulut.hsl.fi/linjat/fi/h74n.html
1075,HSL,75,Rautatientori-Jakomäki-Puistolan asema,,701,http://aikataulut.hsl.fi/linjat/fi/b75.html
1077,HSL,77,Rautatientori-Tattarisuo-Jakomäki,,701,http://aikataulut.hsl.fi/linjat/fi/h77.html
1077N,HSL,77N,Rautatientori-Arabia-Malmi-Jakomäki,,701,http://aikataulut.hsl.fi/linjat/fi/b77N.html
1078,HSL,78,Rautatientori-Viikki-Latokartano,,701,http://aikataulut.hsl.fi/linjat/fi/b78.html
1078N,HSL,78N,Rautatientori-Viikki-Latokartano,,701,http://aikataulut.hsl.fi/linjat/fi/b78N.html
1079,HSL,79,Herttoniemi (M)-Latokartano-Malmi-Siltamäki-Puistolan asem,,701,http://aikataulut.hsl.fi/linjat/fi/b79.html
1079B,HSL,79B,Siilitie (M)-Latokartano,,701,http://aikataulut.hsl.fi/linjat/fi/b79B.html
1079N,HSL,79N,Rautatientori-Malmi-Siltamäki-Puistolan asema,,701,http://aikataulut.hsl.fi/linjat/fi/b79N.html
